机组类型,区域,团队,经销商（KAD）,地区,城市,县级,所属集团,企业名称,纳税人识别号,登记状态,电厂名称/项目名称,地址,投产时间,过去两年Dpal售出(L),投产时间标签,每年涡轮机补加预估KL,每年辅机用油KL,每年总售后用油KL,机组总容量(MW),机组1名称,机组1容量(MW),机组2名称,机组2容量(MW),机组3名称,机组3容量(MW),机组4名称,机组4容量(MW),机组5名称,机组5容量(MW),机组6名称,机组6容量(MW),机组7名称,机组7容量(MW),机组8名称,机组8容量(MW),机组9名称,机组9容量(MW),机组10名称,机组10容量(MW),机组11名称,机组11容量(MW),机组12名称,机组12容量(MW),机组13名称,机组13容量(MW),机组14名称,机组14容量(MW),机组15名称,机组15容量(MW),机组16名称,机组16容量(MW),机组17名称,机组17容量(MW),机组18名称,机组18容量(MW),机组19名称,机组19容量(MW),机组20名称,机组20容量(MW),机组21名称,机组21容量(MW),机组22名称,机组22容量(MW),机组23名称,机组23容量(MW),机组24名称,机组24容量(MW),机组25名称,机组25容量(MW),机组26名称,机组26容量(MW),机组27名称,机组27容量(MW),机组28名称,机组28容量(MW),机组29名称,机组29容量(MW),机组30名称,机组30容量(MW),机组31名称,机组31容量(MW),机组32名称,机组32容量(MW),机组33名称,机组33容量(MW),机组34名称,机组34容量(MW),机组总容量(MW),机组1名称,机组1容量(MW),经度,纬度,机组总容量(MW),机组1名称,机组1容量(MW)
核电,华南,South,,广西壮族自治区,防城港市,港口区,中国广核集团有限公司,广西防城港核电有限公司,91450600677748862L,存续,广西防城港核电一期工程,广西壮族自治区防城港市港口区光坡镇红沙澫,2016/1/1,"37,464",8~10年,8.47,16.29,25,2172.00,#1,1086,#2,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,108.5514,21.6162,0.00,,
核电,华南,South,,广西壮族自治区,防城港市,港口区,中国广核集团有限公司,广西防城港核电有限公司,91450600677748862L,存续,广西防城港红沙核电二期工程,广西防城港港口区光坡镇红沙澫,2023/3/25,"37,464",1~5年,9.20,17.70,27,2360.00,#3,1180,#4,1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,108.5514,21.6162,0.00,,
核电,华南,South,,海南省,昌江黎族自治县,昌江黎族自治县,中国核工业集团有限公司,海南核电有限公司,91460000681168510A,存续,海南昌江核电厂一、二号机组,海南省昌江黎族自治县海尾镇塘兴村,2015/11/7,"2,090",>10年,5.07,9.75,15,1300.00,#1,650,#2,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,108.8853,19.4627,0.00,,
核电,华东,East,,江苏省,连云港市,连云区,中国核工业集团有限公司,江苏核电有限公司,91320700138970480K,存续,田湾核电站5、6号机组工程项目,连云区宿城街道核电南路9000号,2020/9/4, -   ,5~8年,8.72,16.77,25,2236.00,#5,1118,#6,1118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,119.4658,34.6854,0.00,,
核电,华东,East,,江苏省,连云港市,连云区,中国核工业集团有限公司,江苏核电有限公司,91320700138970480K,存续,江苏核电有限公司,江苏省连云港市连云区宿城街道核电南路9000号,2007/5/1, -   ,>10年,8.27,15.90,24,4372.00,1,1060,2,1060,3,1126,4,1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,119.4658,34.6854,0.00,,
核电,东北,North,,辽宁省,大连市,瓦房店市,中国广核集团有限公司,辽宁红沿河核电有限公司,91210200782478913K,存续,辽宁红沿河核电二期工程,辽宁省大连市瓦房店市辽宁省瓦房店市红沿河镇,2021/7/31,"18,573",1~5年,8.73,16.78,26,2237.58,#5,1118.79,#6,1118.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,121.4812,39.8056,0.00,,
核电,东北,North,,辽宁省,大连市,瓦房店市,中国广核集团有限公司,辽宁红沿河核电有限公司,91210200782478913K,存续,辽宁红沿河核电一期,辽宁省瓦房店市红沿河镇,2013/6/6,"18,573",>10年,8.73,16.78,26,4475.16,1号机组,1118.79,2号机组,1118.79,3号机组,1118.79,4号机组,1118.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,121.4812,39.8056,0.00,,
核电,华东,North,,山东省,威海市,荣成市,国家电力投资集团有限公司,国核示范电站有限责任公司,913710006980957412,存续,国核示范电站有限责任公司,山东省荣成市富甲南路666号,2024/12/16, -   ,1~5年,11.97,23.01,35,3068.00,#1,1534,#2,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,122.385556,37.075833,0.00,,
核电,华东,North,,山东省,威海市,荣成市,中国华能集团有限公司,华能山东石岛湾核电有限公司,91371082797349786H,存续,华能山东石岛湾核电有限公司,山东省荣成市石核路9号,2023/11/29, -   ,1~5年,1.65,3.17,5,211.00,#0,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,122.518611,36.912222,0.00,,
核电,华东,North,,山东省,烟台市,海阳市,国家电力投资集团有限公司,山东核电有限公司,91370600757490048M,存续,山东海阳核电一期工程,山东省烟台市海阳市留格庄镇大辛家海阳核电厂,2018/10/22, -   ,5~8年,9.75,18.75,29,2500.00,#1,1250,#2,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,121.385278,36.711111,0.00,,
