机组类型,区域,团队,经销商（KAD）,地区,城市,县级,所属集团,企业名称,纳税人识别号,登记状态,电厂名称/项目名称,地址,投产时间,过去两年Dpal售出(L),投产时间标签,每年涡轮机补加预估KL,每年辅机用油KL,每年总售后用油KL,机组总容量(MW),机组1名称,机组1容量(MW),机组2名称,机组2容量(MW),机组3名称,机组3容量(MW),机组4名称,机组4容量(MW),机组5名称,机组5容量(MW),机组6名称,机组6容量(MW),机组7名称,机组7容量(MW),机组8名称,机组8容量(MW),机组9名称,机组9容量(MW),机组10名称,机组10容量(MW),机组11名称,机组11容量(MW),机组12名称,机组12容量(MW),机组13名称,机组13容量(MW),机组14名称,机组14容量(MW),机组15名称,机组15容量(MW),机组16名称,机组16容量(MW),机组17名称,机组17容量(MW),机组18名称,机组18容量(MW),机组19名称,机组19容量(MW),机组20名称,机组20容量(MW),机组21名称,机组21容量(MW),机组22名称,机组22容量(MW),机组23名称,机组23容量(MW),机组24名称,机组24容量(MW),机组25名称,机组25容量(MW),机组26名称,机组26容量(MW),机组27名称,机组27容量(MW),机组28名称,机组28容量(MW),机组29名称,机组29容量(MW),机组30名称,机组30容量(MW),机组31名称,机组31容量(MW),机组32名称,机组32容量(MW),机组33名称,机组33容量(MW),机组34名称,机组34容量(MW),机组总容量(MW),机组1名称,机组1容量(MW),经度,纬度,机组总容量(MW),机组1名称,机组1容量(MW)
水电-常规水电,西南,West,,四川省,凉山彝族自治州,雷波县,中国长江三峡集团有限公司,三峡金沙江川云水电开发有限公司,91510100060099567R,存续,三峡金沙江川云水电开发有限公司永善溪洛渡电厂,四川省雷波县和云南省永善县交界处(溪洛渡水电站),2013/7/24, -   ,>10年,5.46,10.50,16,12600.00,10号机组,700,11号机组,700,12号机组,700,13号机组,700,14号机组,700,15号机组,700,16号机组,700,17号机组,700,18号机组,700,1号机组,700,2号机组,700,3号机组,700,4号机组,700,5号机组,700,6号机组,700,7号机组,700,8号机组,700,9号机组,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,103.6475,28.2576,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,国家开发投资集团有限公司,雅砻江水电凉山有限公司,91513400MA62H92D6G,存续,四川雅砻江锦屏二级水电站(锦东电厂),四川省凉山彝族自治州木里藏族自治县四川省凉山州木里县倮波乡,2012/12/27, -   ,>10年,4.68,9.00,14,4800.00,#1,600,#3,600,#5,600,#6,600,#7,600,#8,600,2#四川雅砻江锦屏二级水电站(锦东电厂),600,4#四川雅砻江锦屏二级水电站(锦东电厂),600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.3517,28.2338,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,国家开发投资集团有限公司,雅砻江水电凉山有限公司,91513400MA62H92D6G,存续,雅砻江杨房沟水电站项目,四川省凉山彝族自治州木里藏族自治县四川省凉山州木里县,2021/7/1, -   ,1~5年,2.93,5.63,9,1500.00,#1,375,#2,375,#3,375,#4,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.2785,27.9316,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,国家开发投资集团有限公司,雅砻江水电凉山有限公司,91513400MA62H92D6G,存续,四川雅砻江锦屏一级水电站(锦西电厂),四川省凉山彝族自治州木里藏族自治县四川省凉山州木里县倮波乡,2014/5/20, -   ,>10年,4.68,9.00,14,3600.00,#2,600,#3,600,#4,600,#5,600,#6,600,1号机组(锦西电厂),600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.3517,28.2338,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川华电木里河水电开发有限公司,91513422782257301X,存续,立洲水电站,凉山州木里县后所乡呷咕村呷咕组,2016/8/29, -   ,8~10年,0.90,1.73,3,355.00,1#,115,2#,115,3#,115,4#机组,5,5#机组,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.2415,28.1809,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川华电木里河水电开发有限公司,91513422782257301X,存续,俄公堡水电站,凉山州木里县固增乡撒洼村小沟组,2014/1/2, -   ,>10年,0.34,0.66,1,132.00,1#,44,2#,44,3#机组,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,100.9571,28.3244,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川华电木里河水电开发有限公司,91513422782257301X,存续,卡基娃水电站,四川省凉山州木里县唐央乡普尔村瓦朗组,2015/3/16, -   ,>10年,0.86,1.65,3,452.40,1#机组,110,2#机组,110,3#机组,110,4#机组,110,5#,6.2,6#,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,100.5123,28.5321,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川华电木里河水电开发有限公司,91513422782257301X,存续,上通坝水电站,凉山州木里县唐央乡桐窝村上通坝组,2017/12/7, -   ,8~10年,0.62,1.20,2,240.00,1#机组,80,2#机组,80,3#机组,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,100.4852,28.5674,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川凉山水洛河电力开发有限公司,91513422MA62H5N37R,存续,博瓦电站,四川省凉山州木里县,2021/12/23, -   ,1~5年,0.44,0.84,1,168.00,#1,56,#2,56,#3,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.2785,27.9316,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川凉山水洛河电力开发有限公司,91513422MA62H5N37R,存续,凉山州宁朗乡宁朗水电站工程,凉山州木里县宁朗乡宁夏沟,2012/7/1, -   ,>10年,0.30,0.57,1,114.00,1#凉山州宁朗乡宁朗水电站工程,38,2#凉山州宁朗乡宁朗水电站工程,38,3#凉山州宁朗乡宁朗水电站工程,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,100.8355,28.1822,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川凉山水洛河电力开发有限公司,91513422MA62H5N37R,存续,新藏水电站（调度名：平翁水电站）,四川省凉山州木里县水洛乡东拉村,2020/5/30, -   ,5~8年,0.48,0.93,1,186.00,2#机组,62,平翁电站1#机组,62,平翁电站3#机组,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,100.4571,28.2563,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川凉山水洛河电力开发有限公司,91513422MA62H5N37R,存续,固滴水电站,凉山州木里县水洛乡,2018/7/6, -   ,5~8年,0.36,0.69,1,138.00,固滴#1,46,固滴#2机组,46,固滴#3机组,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,100.5056,28.2415,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,中国华电集团有限公司,四川凉山水洛河电力开发有限公司,91513422MA62H5N37R,存续,凉山州木里县撒多水电站,凉山州木里县俄亚乡,2014/6/10, -   ,>10年,0.55,1.05,2,210.00,撒多电站#1机组,70,撒多电站#2机组,70,撒多电站#3机组,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,100.3751,27.9942,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,华润电力控股有限公司,四川华润鸭嘴河水电开发有限公司,91510000786683762M,存续,烟岗水电站,凉山州木里县,2012/11/6, -   ,>10年,0.47,0.90,1,120.00,#1号凉山州鸭嘴河烟岗水电站,60,#2凉山州鸭嘴河烟岗水电站,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.2792,27.9285,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,华润电力控股有限公司,四川华润鸭嘴河水电开发有限公司,91510000786683762M,存续,凉山州鸭嘴河布西水电站,凉山州木里县,2012/6/7, -   ,>10年,0.08,0.15,0,20.00,1#凉山州鸭嘴河布西水电站,10,2#凉山州鸭嘴河布西水电站,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.2792,27.9285,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,木里藏族自治县,华润电力控股有限公司,四川华润鸭嘴河水电开发有限公司,91510000786683762M,存续,跑马坪水电站,凉山州木里县,2012/11/7, -   ,>10年,0.47,0.90,1,120.00,1#跑马坪水电站,60,2#跑马坪水电站,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.2792,27.9285,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,宁南县,中国长江三峡集团有限公司,三峡金沙江云川水电开发有限公司,915301030615619360,存续,白鹤滩水力发电厂,四川省凉山彝族自治州宁南县白鹤滩镇上村梁子营地,2021/6/28, -   ,1~5年,7.80,15.00,23,16000.00,#1,1000,#10,1000,#11,1000,#12,1000,#13,1000,#14,1000,#15,1000,#16,1000,#2,1000,#3,1000,#4,1000,#5,1000,#6,1000,#7,1000,#8,1000,#9,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.7751,27.0624,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,盐源县,国家开发投资集团有限公司,雅砻江水电凉山有限公司,91513400MA62H92D6G,存续,四川雅砻江官地水电站,四川省凉山州盐源县金河乡,2012/3/30, -   ,>10年,4.68,9.00,14,2400.00,1#四川雅砻江官地水电站,600,2#四川雅砻江官地水电站,600,3#四川雅砻江官地水电站,600,4#四川雅砻江官地水电站,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.8152,27.4241,0.00,,
水电-常规水电,西南,West,,四川省,凉山彝族自治州,昭觉县,中国华电集团有限公司,四川华电西溪河水电开发有限公司,91513400754749050W,存续,洛古电站,凉山州昭觉县洛古乡,2009/6/1, -   ,>10年,0.43,0.83,1,110.00,1#洛古电站(久铁),55,2#洛古电站(久铁),55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.5854,27.8762,0.00,,
水电-常规水电,西南,West,,四川省,眉山市,洪雅县,中国大唐集团有限公司,大唐雅安电力开发有限公司洪雅分公司,91511423MA66T3FG6K,存续,城东水电站,洪雅县余坪镇,2000/4/3, -   ,>10年,0.22,0.42,1,84.00,#1,28,#2,28,#3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,103.4542,29.9871,0.00,,
水电-常规水电,西南,West,,四川省,眉山市,洪雅县,中国华电集团有限公司,华电四川发电有限公司瓦屋山分公司,91511423MA67PYDKX1,存续,洪雅瓦屋山水电站项目,洪雅县瓦屋山镇李湾村,2008/1/27, -   ,>10年,0.94,1.80,3,240.00,1#洪雅瓦屋山水电站项目,120,2#洪雅瓦屋山水电站项目,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,103.016041,29.718878,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,北川羌族自治县,国家能源投资集团有限责任公司,国能北川通口河流域电力开发有限公司,915107267400232677,存续,北川巴蜀公司通口电站,绵阳市北川县,2004/8/1, -   ,>10年,0.18,0.34,1,45.00,1#北川巴蜀公司通口电站,22.5,2#北川巴蜀公司通口电站,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.468163,31.617192,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,北川羌族自治县,华润电力控股有限公司,绵阳启明星水电开发有限责任公司关磨电站,91510700MA624C1M0U,存续,关磨水电站,北川县羌族自治县青片乡茶湾村关磨组,1994/4/1, -   ,>10年,0.03,0.06,0,12.00,1#关磨水电站,4,2#关磨水电站,4,3#关磨水电站,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.019239,32.022724,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,北川羌族自治县,华润电力控股有限公司,绵阳启明星水电开发有限责任公司武安电站,91510700797883292X,存续,武安水电站,北川县羌族自治县墩上乡,2006/10/1, -   ,>10年,0.09,0.18,0,24.00,1#武安水电站,12,2#武安水电站,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.170137,31.800749,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,江油市,国家能源投资集团有限责任公司,国能江油通口河电力有限公司,91510781MA624G2594,存续,江油香水电站,江油市香水乡元坪村,1998/11/9, -   ,>10年,0.08,0.15,0,20.00,#1,10,#2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.7065,31.9682,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,中国大唐集团有限公司,四川川汇水电投资有限责任公司,91510727749624384J,存续,仙女堡电站,四川省平武县阔达乡仙坪村,2012/9/1, -   ,>10年,0.30,0.57,1,76.00,#1,38,#2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.7523,32.2341,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,中国大唐集团有限公司,四川川汇水电投资有限责任公司仙女堡电厂,91510727MA624PGR2Y,存续,仙女堡水电站,平武县阔达藏族乡仙坪村,2012/9/30, -   ,>10年,0.30,0.57,1,76.00,#1,38,#2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.7523,32.2341,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,中国华能集团有限公司,四川华能涪江水电有限责任公司,91510727735862816Q,存续,木座电站,四川省平武县,2007/9/1, -   ,>10年,0.39,0.75,1,100.00,1#木座电站,50,2#木座电站,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.53,32.41,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,中国华能集团有限公司,四川华能涪江水电有限责任公司,91510727735862816Q,存续,古城水电站,四川省平武县,2007/4/1, -   ,>10年,0.27,0.53,1,170.00,1#水牛家电站,35,2#水牛家电站,35,古城1号机组,50,古城2号机组,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.53,32.41,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,中国华能集团有限公司,四川华能涪江水电有限责任公司,91510727735862816Q,存续,阴坪水电站,四川省平武县,2009/6/1, -   ,>10年,0.39,0.75,1,100.00,1#阴坪电站,50,2#阴坪电站,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.53,32.41,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,中国华能集团有限公司,四川华能涪江水电有限责任公司,91510727735862816Q,存续,自一里水电站,四川省平武县,2005/4/25, -   ,>10年,0.51,0.98,1,130.00,1#自一里电站,65,2#自一里电站,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.53,32.41,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,华润电力控股有限公司,平武县东方山水资源开发有限公司,91510727752327591A,存续,三岔水电站,平武县水晶镇安塘村,2012/9/27, -   ,>10年,0.19,0.36,1,48.00,1#,24,2#,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.1532,32.7356,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,平武县,华润电力控股有限公司,平武县东方山水资源开发有限公司,91510727752327591A,存续,虎牙水电站,四川省绵阳市平武县虎牙藏族乡虎丰村,2020/1/2, -   ,5~8年,0.19,0.36,1,48.00,1#机组,24,2#机组,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.1012,32.5532,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,三台县,中国华能集团有限公司,华能明台电力有限责任公司,91510722205512253U,存续,明台电站,四川省绵阳市三台县,1997/8/3, -   ,>10年,0.12,0.23,0,45.00,1#明台电站,15,2#明台电站,15,3#明台电站,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,105.0881,31.0921,0.00,,
水电-常规水电,西南,West,,四川省,绵阳市,游仙区,中国华能集团有限公司,四川华能涪江水电有限责任公司,91510727735862816Q,存续,红岩(七星)电站,四川省绵阳市游仙区,2010/6/1, -   ,>10年,0.09,0.18,0,24.00,1#红岩(七星)电站,12,2#红岩(七星)电站,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,104.7672,31.4746,0.00,,
水电-常规水电,西南,West,,四川省,南充市,高坪区,中国华能集团有限公司,四川华能嘉陵江水电有限责任公司,91511302709047682B,存续,青居电站,南充市高坪区青居镇,2004/5/27, -   ,>10年,0.27,0.51,1,136.00,#1机组,34,#2机组,34,#3机组,34,#4机组,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,106.1287,30.7102,0.00,,
水电-常规水电,西南,West,,四川省,攀枝花市,盐边县,国家开发投资集团有限公司,雅砻江流域水电开发有限公司,91510000201870221H,存续,二滩电站,四川省攀枝花市盐边县桐子林镇,1999/12/1, -   ,>10年,4.29,8.25,13,3300.00,1#二滩电站,550,2#二滩电站,550,3#二滩电站,550,4#二滩电站,550,5#二滩电站,550,6#二滩电站,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.768,26.687,0.00,,
水电-常规水电,西南,West,,四川省,攀枝花市,盐边县,国家开发投资集团有限公司,雅砻江水电攀枝花有限公司,915104223233399811,存续,四川雅砻江桐子林水电站项目,盐边县桐子林镇雅攀水电园,2015/10/20, -   ,>10年,1.17,2.25,3,600.00,若水水电站1号机,150,若水水电站2号机,150,若水水电站3号机,150,若水水电站4号机,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.8182,26.7021,0.00,,
水电-常规水电,西南,West,,四川省,攀枝花市,盐边县,国家能源投资集团有限责任公司,国能大渡河新能源投资有限公司热水河分公司,91510422MA68899G1C,存续,石龙电站,四川省攀枝花市盐边县永兴镇箐河村,2005/12/10, -   ,>10年,0.04,0.08,0,10.00,#1,5,#2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.4321,27.1854,0.00,,
水电-常规水电,西南,West,,四川省,攀枝花市,盐边县,国家能源投资集团有限责任公司,国能大渡河新能源投资有限公司热水河分公司,91510422MA68899G1C,存续,丝梨坪电站,四川省攀枝花市盐边县温泉彝族乡热水塘村,2005/12/20, -   ,>10年,0.04,0.08,0,10.00,#1,5,#2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.4923,26.9632,0.00,,
水电-常规水电,西南,West,,四川省,攀枝花市,盐边县,国家能源投资集团有限责任公司,国能大渡河泽润电力有限公司,9151042274227588XW,存续,上河坝电站,四川省攀枝花市盐边县盐边县格萨拉彝族乡,1997/7/1, -   ,>10年,0.08,0.15,0,20.00,#1,10,#2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,101.2212,27.2454,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,宝兴县,中国华能集团有限公司,四川华能宝兴河水电有限责任公司,9151180021090215X2,存续,宝兴水电站,雅安市宝兴县穆坪镇两河口街342号,2009/11/10, -   ,>10年,0.51,0.98,1,195.00,1#宝兴电站,65,2#宝兴电站,65,3#宝兴电站,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.8123,30.3712,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,宝兴县,中国华能集团有限公司,四川华能宝兴河水电有限责任公司,9151180021090215X2,存续,飞仙关水电站,四川华能宝兴河水电有限责任公司,2014/5/27, -   ,>10年,0.39,0.75,1,100.00,1#飞仙关水电站,50,2#飞仙关水电站,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.8156,30.3643,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,宝兴县,中国华能集团有限公司,四川华能宝兴河水电有限责任公司,9151180021090215X2,存续,硗碛水电站,雅安市宝兴县蜂桶寨乡盐井坪村,2006/12/29, -   ,>10年,0.62,1.20,2,240.00,1#硗碛电站,80,2#硗碛电站,80,3#硗碛电站,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.9154,30.5342,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,宝兴县,中国华能集团有限公司,四川华能宝兴河水电有限责任公司,9151180021090215X2,存续,小关子水电站,雅安市宝兴县灵关镇建联村马洛山组1号,2000/10/4, -   ,>10年,0.31,0.60,1,160.00,1#小关子电站,40,2#小关子电站,40,3#小关子电站,40,4#小关子电站,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.8345,30.1856,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,宝兴县,中国华能集团有限公司,四川华能宝兴河水电有限责任公司,9151180021090215X2,存续,民治水电站,雅安市宝兴县蜂桶寨乡盐井村,2017/1/3, -   ,8~10年,0.27,0.53,1,105.00,1号机组,35,2号机组,35,3号机组,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.9154,30.5342,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,宝兴县,华润电力控股有限公司,四川省宝兴县宝源电力有限公司,915100007523298961,存续,四川省宝兴县明礼水电站,四川省宝兴县五龙乡,2006/3/1, -   ,>10年,0.05,0.09,0,12.00,1#四川省宝兴县明礼水电站,6,2#四川省宝兴县明礼水电站,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.7687,30.3021,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,汉源县,国家能源投资集团有限责任公司,国能大渡河瀑布沟发电有限公司,915118235632901367,存续,四川瀑布沟水电站,四川省雅安市汉源县,2009/12/1, -   ,>10年,4.68,9.00,14,3600.00,1#四川瀑布沟水电站,600,2#四川瀑布沟水电站,600,3#四川瀑布沟水电站,600,4#四川瀑布沟水电站,600,5#四川瀑布沟水电站,600,6#四川瀑布沟水电站,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.650417,29.344275,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,汉源县,国家能源投资集团有限责任公司,国能大渡河深溪沟发电有限公司,91511823665370831A,存续,四川深溪沟水电站,汉源县乌斯河镇,2010/6/1, -   ,>10年,1.29,2.48,4,660.00,1#四川深溪沟水电站,165,2#四川深溪沟水电站,165,3#四川深溪沟水电站,165,4#四川深溪沟水电站,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.902623,29.222513,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,芦山县,中国华能集团有限公司,四川华能宝兴河水电有限责任公司,9151180021090215X2,存续,铜头水电站,雅安市芦山县思延乡铜头村6组290号,1996/6/16, -   ,>10年,0.16,0.30,0,80.00,1#铜头电站,20,2#铜头电站,20,3#铜头电站,20,4#铜头电站,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.883713,30.147683,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,石棉县,国家能源投资集团有限责任公司,国家能源集团四川发电有限公司,915101007978016134,存续,姚河坝水电站,四川省雅安市石棉县,2001/9/10, -   ,>10年,0.34,0.66,1,132.00,1#姚河坝电站,44,2#姚河坝电站,44,3#姚河坝电站,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.358364,29.230963,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,石棉县,国家能源投资集团有限责任公司,国家能源集团四川发电有限公司,915101007978016134,存续,冶勒水电站,四川省雅安市石棉县,2005/11/19, -   ,>10年,0.94,1.80,3,240.00,1#冶勒电站,120,2#冶勒电站,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.358364,29.230963,0.00,,
水电-常规水电,西南,West,,四川省,雅安市,石棉县,国家能源投资集团有限责任公司,国能大渡河大岗山发电有限公司,9151182477983864X3,存续,四川大渡河大岗山水电站,四川省雅安市石棉县挖角乡,2015/10/31, -   ,>10年,5.07,9.75,15,2600.00,1#,650,2#,650,3#,650,4#,650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,102.237237,29.434881,0.00,,
